removal_fraction,mean_lcc_size,lcc_size,attack_strategy
0.0,1.0,1.0,degree
0.02,0.3373333333333333,0.3373333333333333,degree
0.04,0.122,0.122,degree
0.06,0.02,0.02,degree
0.08,0.010666666666666666,0.010666666666666666,degree
0.1,0.004,0.004,degree
0.12,0.004,0.004,degree
0.14,0.0033333333333333335,0.0033333333333333335,degree
0.16,0.0026666666666666666,0.0026666666666666666,degree
0.18,0.0026666666666666666,0.0026666666666666666,degree
0.2,0.002,0.002,degree
0.22,0.002,0.002,degree
0.24,0.002,0.002,degree
0.26,0.0013333333333333333,0.0013333333333333333,degree
0.28,0.0013333333333333333,0.0013333333333333333,degree
0.3,0.0013333333333333333,0.0013333333333333333,degree
0.32,0.0013333333333333333,0.0013333333333333333,degree
0.34,0.0013333333333333333,0.0013333333333333333,degree
0.36,0.0013333333333333333,0.0013333333333333333,degree
0.38,0.0013333333333333333,0.0013333333333333333,degree
0.4,0.0013333333333333333,0.0013333333333333333,degree
0.42,0.0013333333333333333,0.0013333333333333333,degree
0.44,0.0013333333333333333,0.0013333333333333333,degree
0.46,0.0013333333333333333,0.0013333333333333333,degree
0.48,0.0013333333333333333,0.0013333333333333333,degree
0.5,0.0013333333333333333,0.0013333333333333333,degree
0.52,0.0013333333333333333,0.0013333333333333333,degree
0.54,0.0013333333333333333,0.0013333333333333333,degree
0.56,0.0013333333333333333,0.0013333333333333333,degree
0.58,0.0013333333333333333,0.0013333333333333333,degree
0.6,0.0013333333333333333,0.0013333333333333333,degree
0.62,0.0013333333333333333,0.0013333333333333333,degree
0.64,0.0013333333333333333,0.0013333333333333333,degree
0.66,0.0013333333333333333,0.0013333333333333333,degree
0.68,0.0013333333333333333,0.0013333333333333333,degree
0.7,0.0013333333333333333,0.0013333333333333333,degree
0.72,0.0013333333333333333,0.0013333333333333333,degree
0.74,0.0013333333333333333,0.0013333333333333333,degree
0.76,0.0013333333333333333,0.0013333333333333333,degree
0.78,0.0006666666666666666,0.0006666666666666666,degree
0.8,0.0006666666666666666,0.0006666666666666666,degree
0.82,0.0006666666666666666,0.0006666666666666666,degree
0.84,0.0006666666666666666,0.0006666666666666666,degree
0.86,0.0006666666666666666,0.0006666666666666666,degree
0.88,0.0006666666666666666,0.0006666666666666666,degree
0.9,0.0006666666666666666,0.0006666666666666666,degree
0.92,0.0006666666666666666,0.0006666666666666666,degree
0.94,0.0006666666666666666,0.0006666666666666666,degree
0.96,0.0006666666666666666,0.0006666666666666666,degree
0.98,0.0006666666666666666,0.0006666666666666666,degree
1.0,0.0,0.0,degree
