removal_fraction,lcc_size
0.0,0.9996
0.041666666666666664,0.9812
0.08333333333333333,0.924
0.125,0.9116
0.16666666666666666,0.8316
0.20833333333333331,0.7964
0.25,0.7516
0.29166666666666663,0.6964
0.3333333333333333,0.6592
0.375,0.6048
0.41666666666666663,0.5504
0.4583333333333333,0.496
0.5,0.4416
0.5416666666666666,0.3876
0.5833333333333333,0.3432
0.625,0.294
0.6666666666666666,0.2644
0.7083333333333333,0.2464
0.75,0.2384
0.7916666666666666,0.1884
0.8333333333333333,0.1476
0.875,0.046
0.9166666666666666,0.0228
0.9583333333333333,0.004
1.0,0.0004
