network_type,model_type,attack_type,critical_fraction,robustness_index
eb,original,degree,0.8337244897959183,0.5540406798170773
eb,unscaled_config,degree,0.8113945578231292,0.5166200259367961
eb,original,betweenness,0.9146938775510203,0.49076854822196425
eb,unscaled_config,betweenness,0.8615467239527389,0.4800696198211725
eb,original,random,0.929431323091034,0.5681881782813459
eb,unscaled_config,random,0.9159029649595687,0.5332656473960823
fb,original,degree,0.7748064743138634,0.5191530612244897
fb,unscaled_config,degree,0.7687074829931972,0.48792857142857143
fb,original,betweenness,0.9224489795918367,0.49072448979591826
fb,unscaled_config,betweenness,0.8843537414965986,0.4803571428571428
fb,original,random,0.935290372306558,0.5586275510204081
fb,unscaled_config,random,0.9142916211347056,0.5197591836734694
mb_kc,original,degree,0.7266156462585033,0.4713061224489795
mb_kc,unscaled_config,degree,0.7406962785114045,0.4489591836734693
mb_kc,original,betweenness,0.8759183673469387,0.472138775510204
mb_kc,unscaled_config,betweenness,0.8580498866213151,0.4453020408163265
mb_kc,original,random,0.904918579616096,0.5055077551020407
mb_kc,unscaled_config,random,0.8988352414136385,0.4855575510204081
